;indicatorAnalyzingName;missingDatasPercent
0;Unnamed: 0;0.0
1;year;0.0
2;countryName;0.0
3;regionName;0.0
4;CM_03;0.0
5;CHILDMORT5TO14;0.0
6;CM_01;0.0
7;CM_02;0.0
8;MDG_0000000001;0.0
9;MDG_0000000020;0.6325632563256326
10;MDG_0000000007;0.0
11;WHS4_544;0.5775577557755776
12;WHS4_100;0.5225522552255226
13;WSH_SANITATION_BASIC;1.3201320132013201
14;WHOSIS_000003;0.0
15;WHOSIS_000014;0.0
16;WHS8_110;0.5225522552255226
17;WSH_WATER_BASIC;0.9900990099009901
18;TB_e_inc_num;0.6325632563256326
19;WHOSIS_000016;0.0
20;HEMOGLOBINLEVEL_CHILDREN_MEAN;0.0
21;HEMOGLOBINLEVEL_PREGNANT_MEAN;0.0
22;NCD_HYP_PREVALENCE_C;0.9900990099009901
23;NCD_HYP_PREVALENCE_A;0.9900990099009901
24;NUTRITION_ANAEMIA_NONPREGNANT__x;0.0
25;NCD_HYP_CONTROL_C;0.9900990099009901
26;NCD_HYP_TREATMENT_A;0.9900990099009901
27;NUTRITION_ANAEMIA_REPRODUCTIVE_x;0.0
28;NUTRITION_ANAEMIA_PREGNANT_NUM;0.0
29;NUTRITION_ANAEMIA_CHILDREN_NUM;0.0
30;CM_04;0.0
31;CHILDMORT10TO19;0.0
32;NCD_HYP_DIAGNOSIS_C;0.9900990099009901
33;CHILDMORT_DEATHS_10TO14;0.0
34;HEMOGLOBINLEVEL_REPRODUCTIVEAG;0.0
35;CHILDMORT_MORTALITY_10TO14;0.0
36;NUTRITION_ANAEMIA_PREGNANT_PRE;0.0
37;HEMOGLOBINLEVEL_NONPREGNANT_ME;0.0
38;NUTRITION_ANAEMIA_NONPREGNANT__y;0.0
39;NCD_HYP_DIAGNOSIS_A;0.9900990099009901
40;NCD_HYP_CONTROL_A;0.9900990099009901
41;NUTRITION_ANAEMIA_REPRODUCTIVE_y;0.0
42;NCD_HYP_TREATMENT_C;0.9900990099009901
43;NUTRITION_ANAEMIA_CHILDREN_PRE;0.0
