;Actual Value;Prediction;countryName;regionName;year
664;1.0;1;Algeria;Africa;2019
964;1.0;1;Mauritania;Africa;2019
1164;1.0;1;Sao Tome and Principe;Africa;2019
624;2.0;2;Comoros;Africa;2019
704;2.0;2;Ethiopia;Africa;2019
784;2.0;2;Gambia;Africa;2019
864;2.0;2;Liberia;Africa;2019
904;2.0;2;Madagascar;Africa;2019
924;2.0;2;Mali;Africa;2019
984;2.0;2;Mauritius;Africa;2019
1044;2.0;2;Niger;Africa;2019
1064;2.0;2;Nigeria;Africa;2019
1084;2.0;2;Rwanda;Africa;2019
1124;2.0;2;Sierra Leone;Africa;2019
1144;2.0;2;South Sudan;Africa;2019
1204;2.0;2;Seychelles;Africa;2019
1264;2.0;2;United Republic of Tanzania;Africa;2019
424;3.0;3;Angola;Africa;2019
444;3.0;3;Burundi;Africa;2019
464;3.0;3;Benin;Africa;2019
584;3.0;3;Democratic Republic of the Congo;Africa;2019
604;3.0;3;Congo;Africa;2019
724;3.0;3;Gabon;Africa;2019
744;3.0;3;Ghana;Africa;2019
764;3.0;3;Guinea;Africa;2019
804;3.0;3;Guinea-Bissau;Africa;2019
824;3.0;3;Equatorial Guinea;Africa;2019
844;3.0;3;Kenya;Africa;2019
1004;3.0;3;Malawi;Africa;2019
1104;3.0;3;Senegal;Africa;2019
1224;3.0;3;Chad;Africa;2019
1284;3.0;3;Uganda;Africa;2019
484;4.0;3;Burkina Faso;Africa;2019
544;4.0;4;Côte d'Ivoire;Africa;2019
564;4.0;4;Cameroon;Africa;2019
644;4.0;4;Cabo Verde;Africa;2019
684;4.0;4;Eritrea;Africa;2019
1024;4.0;4;Namibia;Africa;2019
1244;4.0;3;Togo;Africa;2019
1324;4.0;4;Zambia;Africa;2019
504;5.0;5;Botswana;Africa;2019
524;5.0;5;Central African Republic;Africa;2019
1304;5.0;5;South Africa;Africa;2019
1344;5.0;5;Zimbabwe;Africa;2019
944;6.0;6;Mozambique;Africa;2019
1184;10.0;10;Eswatini;Africa;2019
